sample	method	sites	sites_snp	errors	errors_snp	missing	missing_snp	success %	success % snp	haplotypes	haplotypes_single	haplotypes_size_med
HG005-chr21	TinkerHap	31928	26662	1483	1231	234	161	94.6	95.6	195	20	67764
HG005-chr22	TinkerHap	32775	27390	1134	882	225	149	95.9	96.9	176	14	49848.0
sample	method	sites	sites_snp	errors	errors_snp	missing	missing_snp	success %	success % snp	haplotypes	haplotypes_single	haplotypes_size_med
HG002-chr1	WhatsHap	188076	156078	2610	1575	7415	5160	94.7	96.4	697	63	90989
HG002-chr2	WhatsHap	182342	151264	2143	1138	4952	2912	96.1	97.8	786	88	83749.5
HG002-chr3	WhatsHap	169821	142347	1854	1090	6523	4859	95.1	96.5	575	59	101006
HG002-chr4	WhatsHap	170058	142520	1823	1007	5302	3489	95.8	97.4	555	53	94626
HG002-chr5	WhatsHap	154435	129000	1743	1011	3371	1968	96.7	98.1	462	42	116689.5
HG002-chr6	WhatsHap	152181	127100	1569	837	3107	1670	96.9	98.4	495	43	96654
HG002-chr7	WhatsHap	143016	119262	1660	951	5965	4555	94.7	96.2	468	55	88667.0
HG002-chr8	WhatsHap	135065	114224	1511	952	4240	2965	95.7	97.1	419	47	101785
HG002-chr9	WhatsHap	110304	93175	1609	1073	5512	4249	93.5	95.2	384	37	77200.5
HG002-chr10	WhatsHap	123727	103455	1494	853	5009	3651	94.7	96.4	346	30	142907.0
HG002-chr11	WhatsHap	115388	97658	1271	693	10684	9385	89.6	91.3	423	40	97010
HG002-chr12	WhatsHap	121523	101321	1413	737	8238	6979	92.1	93.7	356	33	108962.5
HG002-chr13	WhatsHap	92701	77863	1043	635	5628	4595	92.8	94.4	281	20	93035
HG002-chr14	WhatsHap	77032	63754	1127	631	1333	528	96.8	98.5	254	24	105235.0
HG002-chr15	WhatsHap	73605	61582	1167	750	4997	3973	91.6	93.6	282	31	69738.0
HG002-chr16	WhatsHap	75729	63565	1000	582	4679	3847	92.5	94.2	232	18	100907.5
HG002-chr17	WhatsHap	68062	55471	1124	645	2172	1322	95.2	97.1	253	19	105620
HG002-chr18	WhatsHap	71877	61110	854	505	9407	8638	85.7	87.3	251	28	66867
HG002-chr19	WhatsHap	59742	48141	985	572	799	184	97.0	98.7	132	15	158418.0
HG002-chr20	WhatsHap	58058	49040	1089	759	3037	2519	92.9	94.4	209	21	98847
HG002-chr21	WhatsHap	35972	30172	1254	991	1730	1315	91.7	93.6	122	4	112882.0
HG002-chr22	WhatsHap	36138	30244	1199	925	841	471	94.4	96.1	115	10	87727
HG005-chr1	WhatsHap	165240	136209	2129	1262	3609	1405	96.5	98.4	1138	145	48048.0
HG005-chr2	WhatsHap	174178	144565	2153	1246	3368	1334	96.8	98.5	1179	176	47090
HG005-chr3	WhatsHap	152371	127149	1664	963	2836	1035	97.0	98.7	936	131	44587.5
HG005-chr4	WhatsHap	159609	133318	1531	848	2661	952	97.4	98.9	816	115	52914.5
HG005-chr5	WhatsHap	132699	110234	1504	900	2495	1080	97.0	98.5	860	109	44416.0
HG005-chr6	WhatsHap	140978	117153	1358	712	2399	885	97.3	98.9	773	119	47507
HG005-chr7	WhatsHap	130739	108974	1606	939	2201	842	97.1	98.6	691	101	57793
HG005-chr8	WhatsHap	113107	95170	1177	682	2064	891	97.1	98.6	701	105	47133
HG005-chr9	WhatsHap	92589	77544	1854	1326	2051	951	95.8	97.5	594	77	43068.5
HG005-chr10	WhatsHap	109542	90880	1424	840	2014	735	96.9	98.6	592	71	60998.0
HG005-chr11	WhatsHap	97965	81892	1054	574	1883	701	97.0	98.7	696	99	39819.0
HG005-chr12	WhatsHap	103856	85611	1137	610	2040	739	96.9	98.7	622	80	52631.0
HG005-chr13	WhatsHap	74367	61708	844	499	1918	950	96.3	98.1	504	73	43612.0
HG005-chr14	WhatsHap	72757	60125	985	634	1343	491	96.8	98.5	422	60	47525.5
HG005-chr15	WhatsHap	62845	52338	1228	828	1437	644	95.8	97.7	431	48	48527
HG005-chr16	WhatsHap	70351	58533	966	566	1202	411	96.9	98.6	360	33	65429.0
HG005-chr17	WhatsHap	58966	47692	1140	694	1360	516	95.8	97.9	433	50	43904
HG005-chr18	WhatsHap	61958	51772	715	399	1196	496	96.9	98.6	368	48	50533.5
HG005-chr19	WhatsHap	52860	42412	868	511	819	250	96.8	98.6	215	20	104969
HG005-chr20	WhatsHap	51208	42693	1044	776	950	364	96.1	97.8	305	32	57961
HG005-chr21	WhatsHap	31928	26662	1380	1110	665	286	93.6	95.6	204	21	64335.0
HG005-chr22	WhatsHap	32775	27390	1075	863	604	271	94.9	96.5	186	18	46722.0
